name,type,linkid
Seibo Kiyomi Monogatari, family ,http://www.dramacool.com/seibo-kiyomi-monogatari--episode-1.html
Sennyu Tantei Tokage, detective ,http://www.dramacool.com/sennyu-tantei-tokage--episode-1.html
Lovestore at the Corner, drama music romance ,http://www.dramacool.com/lovestore-at-the-corner-episode-1.html
Senryokugai Sousakan, ,http://www.dramacool.com/senryokugai-sousakan-episode-1.html
SHARK (Japanese), music ,http://www.dramacool.com/shark-japanese-episode-1.html
Shitsuren Chocolatier, romance ,http://www.dramacool.com/shitsuren-chocolatier-episode-1.html
SHARK Season 2, music ,http://www.dramacool.com/shark-season-2-episode-1.html
Silent Poor, drama human ,http://www.dramacool.com/silent-poor-episode-1.html
Smoking Gun, detective drama ,http://www.dramacool.com/smoking-gun-episode-1.html
Take Five, crime drama suspense ,http://www.dramacool.com/take-five-episode-1.html
Tank Top Fighter, action suspense ,http://www.dramacool.com/tank-top-fighter-episode-1.html
Tenchuu, mystery ,http://www.dramacool.com/tenchuu--episode-1.html
Team Batista 4, drama ,http://www.dramacool.com/team-batista-4-episode-1.html
Tetsuko no Sodate Kata, comedy ,http://www.dramacool.com/tetsuko-no-sodate-kata-episode-1.html
Thats Cunning! Shijo Saidai no Sakusen, comedy ,http://www.dramacool.com/thats-cunning-shijo-saidai-no-sakusen-episode-1.html
THE LONG GOODBYE, crime ,http://www.dramacool.com/the-long-goodbye-episode-1.html
The Rose of Versailles, ,http://www.dramacool.com/the-rose-of-versailles-episode-1.html
The Tragedy of W, drama mystery ,http://www.dramacool.com/the-tragedy-of-w-episode-1.html
Tokyo Bandwagon, family mystery romance ,http://www.dramacool.com/tokyo-bandwagon-episode-1.html
TOKYO23: Survival City, ,http://www.dramacool.com/tokyo23-survival-city-episode-1.html
Tokubou, drama police ,http://www.dramacool.com/tokubou-episode-1.html
Tsubasa, family drama ,http://www.dramacool.com/tsubasa-episode-1.html
"Tsuma wa, Kunoichi ~Saishusho~", historical romance ,http://www.dramacool.com/tsuma-wa-kunoichi-saishusho-episode-1.html
Twinkle, drama ,http://www.dramacool.com/twinkle-episode-1.html
Umi no Ue no Shinryojo, comedy romance ,http://www.dramacool.com/umi-no-ue-no-shinryojo-episode-1.html
Voltasaur Team Kyouryuger, action tokusatsu ,http://www.dramacool.com/voltasaur-team-kyouryuger-episode-1.html
W no Higeki, ,http://www.dramacool.com/w-no-higeki-episode-1.html
Watashi no Kirai na Tantei, comedy mystery ,http://www.dramacool.com/watashi-no-kirai-na-tantei-episode-1.html
White Lab, mystery ,http://www.dramacool.com/white-lab-episode-1.html
Yokai Ningen Bem, adventure ,http://www.dramacool.com/yokai-ningen-bem-episode-1.html
Yae no Sakura, jidaigeki ,http://www.dramacool.com/yae-no-sakura-episode-1.html
Yoshiwara ura doushin, historical jidaigeki ,http://www.dramacool.com/yoshiwara-ura-doushin-episode-1.html
Yowakutemo Katemasu, school drama sport ,http://www.dramacool.com/yowakutemo-katemasu-episode-1.html
Zoku Saigo Kara Nibanme no Koi, romance ,http://www.dramacool.com/zoku-saigo-kara-nibanme-no-koi-episode-1.html
Dokushin Kizoku, romantic comedy ,http://www.dramacool.com/dokushin-kizoku-episode-1.html
DOCTORS: The Ultimate Surgeon, medical ,http://www.dramacool.com/doctors-the-ultimate-surgeon-episode-1.html
First Class, comedy drama ,http://www.dramacool.com/first-class-episode-1.html
