name,type,linkid
The Return of Superman Chuseok Special, variety ,http://www.dramacool.com/the-return-of-superman-chuseok-special-episode-1.html
The Secret Angel, romance ,http://www.dramacool.com/the-secret-angel-episode-1.html
The Suspicious Housekeeper, family melodrama mystery romance ,http://www.dramacool.com/the-suspicious-housekeeper-episode-1.html
The Terror Live, ,http://www.dramacool.com/the-terror-live-episode-1.html
The Wedding Scheme, comedy romance ,http://www.dramacool.com/the-wedding-scheme-episode-1.html
The Woman Who Married Three Times, family romance ,http://www.dramacool.com/the-woman-who-married-three-times-episode-1.html
Three Days, action crime melodrama mystery political romance thriller ,http://www.dramacool.com/three-days-episode-1.html
To The Beautiful You, comedy romance youth ,http://www.dramacool.com/to-the-beautiful-you-episode-1.html
Triangle, action crime family melodrama romance ,http://www.dramacool.com/triangle-episode-1.html
Triple, romance sport ,http://www.dramacool.com/triple-episode-1.html
Trot Lovers, comedy musical romance ,http://www.dramacool.com/trot-lovers-episode-1.html
Twelve Men in a Year, romance ,http://www.dramacool.com/twelve-men-in-a-year-episode-1.html
Twenty Years Old, ,http://www.dramacool.com/twenty-years-old-episode-1.html
Two Mothers, family melodrama romance ,http://www.dramacool.com/two-mothers-episode-1.html
Two Weeks, action crime family melodrama mystery romance ,http://www.dramacool.com/two-weeks-episode-1.html
Unemployed Romance, comedy romance ,http://www.dramacool.com/unemployed-romance-episode-1.html
Vampire Prosecutor 2, fantasy mystery ,http://www.dramacool.com/vampire-prosecutor-2-episode-1.html
Waiting for Love, romance ,http://www.dramacool.com/waiting-for-love-episode-1.html
Warrior Baek Dong Soo, action period romance thriller ,http://www.dramacool.com/warrior-baek-dong-soo-episode-1.html
When A Man Loves, melodrama romance ,http://www.dramacool.com/when-a-man-loves-episode-1.html
When A Man Loves A Woman, romance ,http://www.dramacool.com/when-a-man-loves-a-woman-episode-1.html
Who Are You, action fantasy melodrama mystery romance ,http://www.dramacool.com/who-are-you-episode-1.html
Wild Chives and Soy Bean Soup: 12 Years Reunion, comedy family romance ,http://www.dramacool.com/wild-chives-and-soy-bean-soup-12-years-reunion-episode-1.html
Wild Dogs, ,http://www.dramacool.com/wild-dogs-korean-movie-episode-1.html
Wild Romance, comedy romantic ,http://www.dramacool.com/wild-romance-episode-1.html
Will It Snow For Christmas?, melodrama romance ,http://www.dramacool.com/will-it-snow-for-christmas-episode-1.html
Witchs Romance, comedy romance ,http://www.dramacool.com/witchs-romance-episode-1.html
Wonderful Days, comedy family melodrama romance ,http://www.dramacool.com/wonderful-days-episode-1.html
Wonderful Mama, family romance ,http://www.dramacool.com/wonderful-mama-episode-1.html
Yi San, historical ,http://www.dramacool.com/yi-san-episode-1.html
Yoo Nas Street, comedy crime family human romance ,http://www.dramacool.com/yoo-nas-street-episode-1.html
You Deserve to Be Single, comedy romance ,http://www.dramacool.com/you-deserve-to-be-single-episode-1.html
Youre All Surrounded, action comedy romance ,http://www.dramacool.com/youre-all-surrounded-episode-1.html
Youre All Surrounded Special, action comedy romance ,http://www.dramacool.com/youre-all-surrounded-special--episode-1.html
Youre Beautiful, comedy romance ,http://www.dramacool.com/youre-beautiful-episode-1.html
