name,type,linkid
I‘m Fine In Beijing, drama romance ,http://www.dramacool.com/im-fine-in-beijing--episode-1.html
Jade Palace, period romance ,http://www.dramacool.com/jade-palace-episode-1.html
Le Jun Kai, drama romance ,http://www.dramacool.com/le-jun-kai-episode-1.html
Le Jun Kai, ,http://www.dramacool.com/le-jun-kai-chinese-movies-episode-1.html
Legend of Chu and Han, historical ,http://www.dramacool.com/legend-of-chu-and-han-episode-1.html
Legend of Mermaid, action comedy drama fantasy period romance ,http://www.dramacool.com/legend-of-mermaid-episode-1.html
Let is Watch The Meteor Shower, comedy romance ,http://www.dramacool.com/let-is-watch-the-meteor-shower-episode-1.html
Love Is The Best, drama romance ,http://www.dramacool.com/love-is-the-best-episode-1.html
Lies Of The Femininity, drama romance ,http://www.dramacool.com/lies-of-the-femininity-episode-1.html
Man Comes To Tang Dynasty, comedy drama romance ,http://www.dramacool.com/man-comes-to-tang-dynasty-episode-1.html
Marry into the Purple, drama ,http://www.dramacool.com/marry-into-the-purple-episode-1.html
MEN, ,http://www.dramacool.com/men-episode-1.html
Miss Dong, drama romance ,http://www.dramacool.com/miss-dong-episode-1.html
"My Love, Come Home", ,http://www.dramacool.com/my-love-come-home-episode-1.html
Mystery Hunter Notes, action crime drama mystery thriller ,http://www.dramacool.com/mystery-hunter-notes-episode-1.html
Naked Marriage Afterwards, drama romance ,http://www.dramacool.com/naked-marriage-afterwards-episode-1.html
Old Days in Shanghai, ,http://www.dramacool.com/old-days-in-shanghai-episode-1.html
Nan Ren Si Shi Yao Chu Jia, comedy drama family romance ,http://www.dramacool.com/nan-ren-si-shi-yao-chu-jia-episode-1.html
One And A Half Summer, comedy drama romance ,http://www.dramacool.com/one-and-a-half-summer--episode-1.html
Ordinary Man, drama ,http://www.dramacool.com/ordinary-man-episode-1.html
Only If I Love You, drama romance ,http://www.dramacool.com/only-if-i-love-you-episode-1.html
Our Love, comedy romance ,http://www.dramacool.com/our-love-episode-1.html
Palace 3 The Lost Daughter, period romance ,http://www.dramacool.com/palace-3-the-lost-daughter--episode-1.html
Perfect, comedy period drama romance ,http://www.dramacool.com/perfect-episode-1.html
Pretty Maid, ,http://www.dramacool.com/pretty-maid-episode-1.html
Qianlong Dynasty, drama historical ,http://www.dramacool.com/qianlong-dynasty-episode-1.html
Refresh 3+7, ,http://www.dramacool.com/refresh-37-episode-1.html
Red Euphorbia Millii, drama ,http://www.dramacool.com/red-euphorbia-millii-episode-1.html
Return of the Condor Heroes 1998, romance ,http://www.dramacool.com/return-of-the-condor-heroes-1998-episode-1.html
Sanctuary, action drama period ,http://www.dramacool.com/sanctuary-episode-1.html
Scarlet Heart, drama period romance ,http://www.dramacool.com/scarlet-heart-episode-1.html
Shen Tan Di Ren Jie, drama period ,http://www.dramacool.com/shen-tan-di-ren-jie-episode-1.html
Shanghai Legend, audition drama ,http://www.dramacool.com/shanghai-legend-episode-1.html
Sheng Huo Qi Shi Lu, comedy family modern metropolitan drama romance ,http://www.dramacool.com/sheng-huo-qi-shi-lu--episode-1.html
ShengSi XiangYi, drama family ,http://www.dramacool.com/shengsi-xiangyi--episode-1.html
Single Princesses and Blind Dates, romance ,http://www.dramacool.com/single-princesses-and-blind-dates-episode-1.html
Stage of Youth, ,http://www.dramacool.com/stage-of-youth-episode-1.html
